ORDERNUMBER,ORDERDATE,STATUS,SALES,TOTAL_SALES
10107,2/24/2003 0:00,Shipped,2871.0,2871.0
10121,5/7/2003 0:00,Shipped,2765.9,2765.9
10134,7/1/2003 0:00,Shipped,3884.34,3884.34
10145,8/25/2003 0:00,Shipped,3746.7,3746.7
10159,10/10/2003 0:00,Shipped,5205.27,4900.0
10168,10/28/2003 0:00,Shipped,3479.76,3479.76
10180,11/11/2003 0:00,Shipped,2497.77,2497.77
10188,11/18/2003 0:00,Shipped,5512.32,4800.0
10201,12/1/2003 0:00,Shipped,2168.54,2168.54
10211,1/15/2004 0:00,Shipped,4708.44,4100.0
10223,2/20/2004 0:00,Shipped,3965.66,3700.0
10237,4/5/2004 0:00,Shipped,2333.12,2300.0
10251,5/18/2004 0:00,Shipped,3188.64,2800.0
10263,6/28/2004 0:00,Shipped,3676.76,3400.0
10275,7/23/2004 0:00,Shipped,4177.35,4177.35
10285,8/27/2004 0:00,Shipped,4099.68,3600.0
10299,9/30/2004 0:00,Shipped,2597.39,2300.0
10309,10/15/2004 0:00,Shipped,4394.38,4100.0
10318,11/2/2004 0:00,Shipped,4358.04,4358.04
10329,11/15/2004 0:00,Shipped,4396.14,4200.0
10341,11/24/2004 0:00,Shipped,7737.93,4100.0
10361,12/17/2004 0:00,Shipped,1451.0,1451.0
10375,2/3/2005 0:00,Shipped,733.11,733.1099999999999
10388,3/3/2005 0:00,Shipped,3207.12,3207.12
10403,4/8/2005 0:00,Shipped,2434.56,2400.0
10417,5/13/2005 0:00,Disputed,7516.08,6600.0
10103,1/29/2003 0:00,Shipped,5404.62,2600.0
10112,3/24/2003 0:00,Shipped,7209.11,2900.0
10126,5/28/2003 0:00,Shipped,7329.06,3800.0
10140,7/24/2003 0:00,Shipped,7374.1,3700.0
10150,9/19/2003 0:00,Shipped,10993.5,4500.0
10163,10/20/2003 0:00,Shipped,4860.24,2100.0
10174,11/6/2003 0:00,Shipped,8014.82,3400.0
10183,11/13/2003 0:00,Shipped,5372.57,2300.0
10194,11/25/2003 0:00,Shipped,7290.36,4200.0
10206,12/5/2003 0:00,Shipped,9064.89,4700.0
10215,1/29/2004 0:00,Shipped,6075.3,3500.0
10228,3/10/2004 0:00,Shipped,6463.23,2900.0
10245,5/4/2004 0:00,Shipped,6120.34,3400.0
10258,6/15/2004 0:00,Shipped,7680.64,3200.0
10270,7/19/2004 0:00,Shipped,4905.39,2100.0
10280,8/17/2004 0:00,Shipped,8014.82,3400.0
10291,9/8/2004 0:00,Shipped,7136.19,3700.0
10304,10/11/2004 0:00,Shipped,10172.7,4700.0
10312,10/21/2004 0:00,Shipped,11623.7,4800.0
